timestamp,TP9,AF7,AF8,TP10,label
0.0,15995.60546875,-15996.58203125,-15996.58203125,15995.60546875,0
0.00390625,-62.5,-62.98828125,-62.5,-62.01171875,0
0.0078125,-3015.625,-4996.58203125,999.0234375,10976.5625,0
0.01171875,-14667.48046875,15675.29296875,-15980.46875,-13940.4296875,0
0.015625,-7174.8046875,-8063.96484375,686.5234375,-8041.9921875,0
0.01953125,5197.75390625,4963.8671875,8986.81640625,11329.1015625,0
0.0234375,-12683.10546875,15448.73046875,15839.35546875,-10643.5546875,0
0.02734375,-9800.78125,-6689.453125,-4688.96484375,-11042.48046875,0
0.03125,13167.48046875,12956.0546875,6991.2109375,15313.96484375,0
0.03515625,-13097.16796875,15245.60546875,-15879.39453125,-10776.3671875,0
0.0390625,13822.75390625,-11566.40625,-5188.4765625,-13417.96875,0
0.04296875,-4822.265625,-11040.0390625,3011.71875,-12662.59765625,0
0.046875,-13198.73046875,15729.98046875,-15886.71875,-10510.7421875,0
0.05078125,13448.73046875,-8314.453125,562.5,-9291.50390625,0
0.0546875,5167.48046875,6972.16796875,-7001.46484375,-12666.50390625,0
0.05859375,-13675.29296875,15222.16796875,15823.73046875,-10979.4921875,0
0.0625,5697.265625,-12314.94140625,-1563.4765625,-14167.48046875,0
0.06640625,-841.796875,8954.1015625,6985.3515625,-681.15234375,0
0.0703125,-13761.23046875,15042.48046875,15933.59375,-10971.6796875,0
0.07421875,6196.77734375,-12315.4296875,1062.5,15582.03125,0
0.078125,11148.4375,-9049.8046875,-984.375,9324.70703125,0
0.08203125,-13542.48046875,15245.60546875,-15887.20703125,-10760.7421875,0
0.0859375,6696.77734375,-10564.94140625,-1062.01171875,-15542.48046875,0
0.08984375,-2852.05078125,10959.47265625,-14993.1640625,9331.0546875,0
0.09375,-13847.16796875,15190.91796875,15769.53125,-10885.7421875,0
0.09765625,6822.75390625,-11815.4296875,3313.96484375,-11666.9921875,0
0.1015625,13148.4375,-1046.38671875,-987.79296875,-679.6875,0
0.10546875,-13979.98046875,15175.29296875,-15902.34375,-11081.0546875,0
0.109375,1820.80078125,-12565.91796875,1437.5,14331.0546875,0
0.11328125,3140.13671875,-13049.31640625,-6989.2578125,-4678.7109375,0
0.1171875,-13495.60546875,15229.98046875,-15730.46875,-10495.1171875,0
0.12109375,5944.82421875,-11190.4296875,6188.4765625,-6791.015625,0
0.125,-4862.79296875,2956.0546875,5012.20703125,1341.796875,0
0.12890625,-13573.73046875,15456.54296875,-15660.15625,-10487.3046875,0
0.1328125,1446.2890625,-12566.40625,6813.96484375,-12166.9921875,0
0.13671875,11166.015625,12939.94140625,9036.1328125,13356.4453125,0
0.140625,-13222.16796875,15253.41796875,-15542.96875,-10315.4296875,0
0.14453125,8945.80078125,-8440.4296875,1063.4765625,-9042.48046875,0
0.1484375,1133.30078125,2947.265625,9024.4140625,9306.640625,0
0.15234375,-13722.16796875,15175.29296875,-15621.09375,-10948.2421875,0
0.15625,8072.265625,-12065.91796875,9063.96484375,-7916.50390625,0
0.16015625,1165.52734375,6956.0546875,13036.1328125,5327.1484375,0
0.1640625,-12933.10546875,15354.98046875,-15089.84375,-10573.2421875,0
0.16796875,11821.77734375,-14440.91796875,10813.96484375,-13544.43359375,0
0.171875,-14833.0078125,4952.63671875,-14969.7265625,-697.265625,0
0.17578125,-13237.79296875,15331.54296875,-15402.34375,-10870.1171875,0
0.1796875,14949.21875,-11065.4296875,10815.91796875,-10666.9921875,0
0.18359375,9144.04296875,2935.05859375,1050.29296875,-4703.125,0
0.1875,-14151.85546875,14769.04296875,-15207.03125,-11651.3671875,0
0.19140625,2946.77734375,15184.08203125,14065.4296875,6330.56640625,0
0.1953125,-835.9375,-3046.38671875,5059.08203125,13299.8046875,0
