timestamp,TP9,AF7,AF8,TP10,label
0.000000,-15996.0938,-15996.5820,15953.6165,-15776.7078,0
0.003906,62.0117,-11998.3015,401.0421,-75.9185,0
0.007812,-2998.5352,-1301.1172,-13082.2388,-766.2253,0
0.011719,15862.7930,209.9328,-8656.3029,15702.8107,0
0.015625,-5564.4531,9965.1497,7002.0807,-1365.2342,0
0.019531,-5032.7148,-4227.1598,651.7539,-4742.2920,0
0.023438,15604.9805,7697.5935,9347.0370,15486.7277,0
0.027344,-6564.9414,9617.6416,6764.1974,-4583.7070,0
0.031250,-1031.2500,-8363.3092,-7119.7675,3018.0591,0
0.046516,15323.7305,15615.0651,12824.6098,14949.6980,0
0.050422,-9064.9414,-3216.5635,8112.3019,-7236.0198,0
0.054328,-9029.7852,-1031.8004,12599.3213,-8408.6871,0
0.058235,15620.6055,15558.4626,-15064.7192,15110.0958,0
0.062141,-6814.4531,-8564.9712,-5749.0425,-6525.2547,0
0.066047,2986.8164,12872.0923,-8915.8190,-4475.5432,0
0.069953,15909.6680,15669.2408,14505.1377,15407.6175,0
0.073860,-6187.9883,-11300.6476,-15679.2740,-6014.8672,0
0.077766,999.0234,-14999.6905,4916.3035,-8808.2247,0
0.090113,15894.0430,11651.5221,-11847.1150,15720.4113,0
0.094019,-2187.9883,6659.9014,-11774.3447,-2628.7117,0
0.097925,3002.9297,286.9665,10861.1706,-10798.9066,0
0.101831,15940.9180,9465.3031,-12320.5445,15620.6495,0
0.105738,-3062.5000,5414.9844,-6836.4599,-4427.3764,0
0.109644,998.0469,1054.5500,-11293.6803,-2856.2437,0
0.113550,15675.2930,11400.2952,-13213.6251,15710.7312,0
0.117456,-5188.4766,5045.9501,12996.6560,-2768.1801,0
0.121363,2970.2148,-5297.1831,-15221.7802,3013.8588,0
0.135095,15370.6055,12798.3094,-12866.5577,15536.8560,0
0.139002,-5438.4766,3836.3853,9747.9857,-1288.1193,0
0.142908,-11020.5078,-3619.6615,-15178.6889,1132.2277,0
0.146814,15581.5430,7881.7116,-14390.2231,15361.5337,0
0.150720,-6314.4531,2863.5611,-6815.4757,-5965.5829,0
0.154627,-5030.7617,-11984.5583,-5335.8238,3118.4226,0
0.158533,15565.9180,1335.7752,-14379.5497,15484.6818,0
0.162439,-4313.9648,5213.3134,190.6348,-4605.0416,0
0.166345,-5017.0898,-388.5570,-2955.1597,3018.5624,0
0.196180,15722.1680,15643.2589,15163.2276,-4607.4544,0
0.200086,-6563.9648,-6208.3621,3161.0939,3117.0037,0
0.203992,975.5859,-1188.6930,-11942.6067,15388.4269,0
0.207898,15831.5430,15217.0232,12179.8285,-3348.2998,0
0.211805,-63.9648,-8277.1514,-1789.5009,5042.2901,0
0.215711,8984.8633,-5134.8057,-6240.8214,8168.4226,0
0.219617,15886.2305,15200.4440,14805.2774,11294.5551,0
0.223523,-2062.9883,-3285.9597,12128.0725,14420.6876,0
0.227430,14997.5586,-1092.0553,-4568.2354,5342.5605,0
0.240098,15792.4805,15563.0036,14663.9318,1420.0992,0
0.244004,-5688.4766,-6892.6084,-13859.9319,6267.9276,0
0.247910,8983.3984,12924.8893,11246.7229,13972.3600,0
0.251817,15800.2930,15755.4149,13402.5116,777.0914,0
0.255723,-1814.4531,-4523.1346,-12623.5002,-12411.3145,0
0.259629,2957.5195,-7030.5046,-4800.0862,-11781.4280,0
0.263535,15526.8555,15635.8330,-15381.1841,-7574.8785,0
0.267442,-4939.9414,-4647.5498,10616.4999,-3368.3290,0
0.271348,956.5430,-9020.2677,-14695.7359,838.2205,0
0.285069,15479.9805,12539.6005,-14379.6258,15394.0752,0
0.288975,-9189.4531,5927.3760,11878.3576,-8257.2369,0
0.292882,978.5156,-7450.1229,-12721.1515,14976.5034,0
0.296788,15690.9180,2252.3200,-14094.4316,15488.2346,0
0.300694,-4188.9648,6722.5492,4074.0614,-5155.6103,0
0.304600,-7021.4844,246.8431,14993.8695,14982.9268,0
0.308507,15753.4180,9274.5107,-14765.2902,15587.2190,0
0.312413,-1437.5000,4396.8537,3758.9425,-2472.7221,0
0.316319,3006.8359,-3074.0081,-14809.5294,8949.4347,0
0.330505,-15926.2695,13840.8719,-14668.5006,-15559.8165,0
0.334411,-2314.4531,2193.4962,13613.5047,-1204.2392,0
0.338318,-13026.3672,-5681.4575,-7028.3275,11116.9484,0
0.342224,15784.6680,7423.6728,14452.6923,15392.0358,0
0.346130,-4438.4766,2290.2069,13370.3250,-474.5803,0
0.350036,987.7930,-3300.1656,-3065.0988,11122.9680,0
0.353943,15644.0430,8855.6073,13046.4097,15317.3752,0
0.357849,-4438.4766,3683.0760,512.2811,-1892.5123,0
0.361755,12982.4219,6104.0805,-13174.9357,-12776.5919,0
0.375091,15706.5430,15123.4077,15485.7886,15543.8050,0
0.378998,-5688.9648,11781.2488,-2110.0673,-2799.8489,0
0.382904,-3006.3477,-1537.1685,-11179.2901,-11067.9878,0
0.386810,-15973.1445,8714.5453,14559.8295,-15785.2782,0
0.390716,-3064.4531,11126.2024,-2090.7669,-1298.6743,0
0.394623,-3010.2539,-7462.8427,-5293.6189,8652.3188,0
0.398529,15987.7930,-5626.1573,12390.9241,-15660.5548,0
0.402435,-3564.4531,11364.8194,4686.0448,-11.6699,0
0.406341,6970.2148,-1623.5447,2787.4022,12876.0360,0
0.420077,15722.1680,15228.9153,12765.5465,-15811.5200,0
0.423983,-3188.4766,2621.0340,11274.6723,-905.0379,0
0.427890,12982.9102,-12207.6582,-5058.7001,-8731.4761,0
0.431796,15620.6055,976.9444,12441.9273,15723.5110,0
0.435702,-4313.4766,6224.0800,12752.6956,-95.8469,0
0.439608,-9007.3242,-866.8622,-7300.3272,-2793.8024,0
0.443515,15620.6055,8470.4595,10930.0006,15607.9608,0
0.447421,-7939.9414,6732.4235,9464.2439,-5537.7994,0
0.451327,-15034.6680,-5357.3663,14913.2969,-2993.6933,0
0.465980,15456.5430,15828.1849,11848.2749,15137.2442,0
0.469887,-8939.4531,-2517.4953,1468.8311,-9213.6946,0
0.473793,8982.9102,965.2858,10851.1237,-10677.6528,0
0.477699,15683.1055,15521.6814,10214.2111,15381.0756,0
0.481605,-8939.4531,-5511.6987,13889.7776,-6447.5829,0
0.485512,6969.2383,-7026.6125,-5150.1447,-6736.5485,0
0.489418,15511.2305,15626.3779,12989.8839,15272.4229,0
0.493324,-6064.4531,-6633.5768,13919.2901,-9896.0121,0
0.497230,-1025.3906,12945.4671,3159.3763,3024.0511,0
0.510133,15675.2930,15555.6333,-15624.3267,15373.6509,0
0.514039,-2313.4766,5458.7823,10648.6497,-4689.3821,0
0.517945,-3020.0195,-8757.8800,-2930.2232,7061.9974,0
0.521852,15690.9180,1984.3564,-14623.4151,15432.8523,0
0.525758,-3937.9883,4474.7199,8613.2597,-5062.7797,0
0.529664,4994.6289,4092.0723,-15054.1577,-4776.6919,0
0.533570,15651.8555,14396.3475,-12059.8920,15689.6538,0
0.537477,-7314.4531,3833.8368,-15813.3844,-3476.8445,0
0.541383,10977.5391,4521.3697,-10870.6378,-6954.0433,0
0.570044,15604.9805,15393.3717,-7887.5537,1536.4493,0
0.573950,-8063.9648,-6706.8674,-11827.6468,12058.4845,0
0.577857,15000.0000,-7006.1306,-11627.9160,15554.4479,0
0.581763,15894.0430,15455.0298,-2693.3546,1698.7898,0
0.585669,-4688.4766,-4601.3495,-2552.1137,12103.5228,0
0.589575,10979.0039,10796.9905,-3944.6520,8250.7430,0
0.593482,15534.6680,15386.6281,-5134.6367,53.6261,0
0.597388,-3688.4766,-8315.0567,-6324.6213,-8143.4908,0
0.601294,-5008.7891,-3073.7748,-7514.6060,-14962.0533,0
0.615141,15948.7305,15702.2552,-11590.0373,2433.3637,0
0.619047,-3188.9648,-6513.5506,3682.6686,6414.8143,0
0.622954,10978.5156,12932.8896,4702.5054,15306.8530,0
0.626860,15729.9805,15684.7185,-14370.3333,2267.7598,0
0.630766,-5439.4531,-10130.8089,-8834.7401,1566.3970,0
0.634672,14976.0742,10931.6115,-9185.6362,7740.4148,0
0.638579,15620.6055,15726.9223,-13473.9219,9004.1113,0
0.642485,-4939.4531,-3395.1499,11428.4246,10267.8077,0
0.646391,8970.2148,-3020.0024,-3117.2889,11531.5042,0
0.660088,15722.1680,13514.8400,13713.6555,15800.9152,0
0.663994,-4063.4766,2666.6578,10048.6705,1617.9637,0
0.667900,14991.2109,-1290.7445,924.7956,-4782.3268,0
0.671806,15847.1680,11440.6225,12752.2774,15702.1813,0
0.675713,-1937.9883,4584.8890,2786.3672,-1950.1518,0
0.679619,8988.7695,-9616.5540,-5178.5670,-14681.1492,0
0.683525,15878.4180,1669.8611,11682.4401,15816.9859,0
0.687431,-813.4766,5820.6982,14536.4739,-547.7739,0
0.691338,-5012.2070,4825.0805,-926.1806,-11009.9640,0
0.705120,15729.9805,15318.6826,12456.3164,-15745.3668,0
0.709026,-4188.4766,5624.9377,4466.3240,209.1392,0
0.712933,11003.4180,-3846.5407,10930.6151,2866.1243,0
0.716839,15956.5430,7357.6870,10665.7653,-15638.7197,0
0.720745,-4938.4766,4640.0263,9816.3009,938.4547,0
0.724651,-3012.2070,-12000.6101,5233.8057,865.1796,0
0.728558,15784.6680,-1613.6351,11609.7136,-15758.6776,0
0.732464,-1688.4766,8383.9688,-8800.2178,3464.7743,0
0.736370,14982.9102,2289.5632,-12814.9824,7001.4549,0
0.751091,15690.9180,15849.9509,13239.3619,15735.1254,0
0.754997,-3188.9648,-7148.0787,-6815.1914,131.2239,0
0.758904,-3030.2734,-7015.4543,-12764.6430,-4789.5595,0
0.762810,15440.9180,15618.4776,13008.4282,15545.7911,0
0.766716,-9064.4531,-8146.1295,15666.1232,-6036.0975,0
0.770622,-1014.1602,-5019.4409,6993.0002,-14695.1679,0
0.774529,15808.1055,15754.6846,12551.7116,15483.1936,0
0.778435,-4814.9414,-3528.3151,-7537.1930,-8135.5250,0
0.782341,-11038.5742,10963.3091,1149.3111,-2973.1188,0
0.796156,15558.1055,15071.6345,-14205.3915,13074.0951,0
0.800062,-4437.9883,3043.7519,-12304.6877,-7767.3154,0
