timestamp,TP9,AF7,AF8,TP10,label
0.000000,14461.2680,-15996.0938,-10483.6422,-9655.5829,0
0.003906,-536.9257,62.0117,1693.8474,-1935.7495,0
0.007812,-5804.9940,9012.6953,8335.3871,3208.2620,0
0.011719,-12490.3294,14854.4922,11606.3063,5874.5230,0
0.015625,-4813.3355,-14072.7539,690.9768,-6820.5229,0
0.019531,9606.2727,8834.4727,-1659.2296,-8087.8970,0
0.023438,-7395.6881,13331.0547,11109.4767,-10083.6355,0
0.027344,-636.2458,-6071.2891,9157.7516,-2696.6364,0
0.031250,5423.2855,-13135.2539,10805.4069,-4651.9637,0
0.119610,-8678.5303,13299.8047,12314.6609,15321.7593,0
0.122199,-9182.5941,13315.4297,9854.1881,-9610.5795,0
0.123517,-9996.6812,-11072.2656,9376.9834,-8631.5395,0
0.126105,-4097.9950,-7323.2422,6918.4167,2626.1740,0
0.127423,12851.7434,-5162.5977,-2735.9458,-1861.0013,0
0.130011,-7108.8845,830.0781,10321.4659,15291.3291,0
0.131329,-8722.6831,13151.3672,12457.1984,15672.0061,0
0.133917,-9134.3842,13752.9297,5348.5793,-10396.2079,0
0.135235,-10846.5570,-14072.7539,7828.8302,-6687.3420,0
0.137824,-5466.6439,-8325.1953,1492.9726,-8672.7105,0
0.139142,-5000.8836,2850.5859,4568.7288,-4230.6585,0
0.141730,-8509.1437,12801.7578,12212.1368,15757.1924,0
0.143048,-8387.7357,13385.7422,12289.3063,15310.8815,0
0.145636,-8230.0600,13463.8672,4125.1761,-2023.9326,0
0.146954,-6651.0811,-7321.2891,3607.2766,-7835.2732,0
0.149542,-6761.3484,-9573.2422,14574.4920,-14421.3813,0
0.149741,-4761.2181,13573.2422,13595.7786,-13240.2203,0
0.150860,1302.4488,-13154.7852,1467.7710,-6572.1062,0
0.153449,-14780.4504,-7140.1367,-3594.1815,-7164.6177,0
0.153647,-14121.1171,-9572.2656,-4122.3671,-6838.4095,0
0.157553,-3256.4274,-7143.0664,-3805.3017,4468.5139,0
0.161459,-7007.0955,13456.0547,9627.2603,5641.5233,0
0.165366,8590.1622,-9822.7539,-162.7404,-2428.5799,0
0.169272,-1531.5895,-9162.1094,-2458.3040,10476.7433,0
0.173178,-6758.5468,13502.9297,9091.4008,7413.6944,0
0.177084,11389.2254,-5822.7539,3164.9728,8679.6956,0
0.180991,-4636.7957,-9154.2969,5092.7467,-3983.3348,0
0.209508,-2797.1262,13588.8672,9152.1325,3285.8856,0
0.213414,11844.9299,-6322.2656,-3112.9456,6859.6053,0
0.217320,1500.4205,-9155.2734,-5985.8560,10433.3250,0
0.221227,-3242.4053,13416.9922,8172.9151,14007.0446,0
0.225133,8593.6465,-8948.2422,-2327.4634,-1413.8756,0
0.229039,-4088.9795,-1170.8984,-551.9359,-8173.0504,0
0.232945,-2733.3110,13588.8672,8347.4400,7405.1063,0
0.236852,3627.4722,-4821.7773,5822.9399,3209.5272,0
0.240758,4060.0782,14850.5859,-3587.5406,-3951.6475,0
0.240872,3914.4500,13440.4297,-3963.8161,-3884.6895,0
0.244778,4054.3503,-9698.7305,-1835.4850,8750.8450,0
0.248685,-3386.6758,-7170.8984,8728.9049,2268.3488,0
