timestamp,TP9,AF7,AF8,TP10,label
0.000000,14753.6074,-15996.5820,-8823.1507,-7852.1092,0
0.003906,483.4399,-62.9883,-2284.3515,-2503.9860,0
0.007812,5246.7900,-6996.0938,4330.8965,5538.3361,0
0.011719,-15625.8900,15651.8555,3887.7209,3622.6636,0
0.015625,-13458.2192,-13814.9414,33.0211,-1506.2836,0
0.019531,10924.5513,2961.9141,14074.4095,10344.4008,0
0.023438,-14765.0022,15190.9180,4451.7941,4778.4018,0
0.027344,-13971.9972,-9939.9414,-10779.6344,-6373.6697,0
0.031250,-12960.3780,-7039.0625,-11266.6472,-5471.7515,0
0.059311,-12338.6241,15440.9180,7979.0748,6536.1546,0
0.063217,14961.7624,-10815.9180,-2489.6980,-3091.9772,0
0.067123,5209.2915,-1043.9453,11036.3984,9075.1085,0
0.071029,-14879.7029,15378.4180,7349.4109,7892.7557,0
0.074936,-12847.7048,-10939.9414,-4868.7267,-301.8153,0
0.078842,8907.8375,975.5859,8415.8861,10409.3025,0
0.082748,-14459.5284,15362.7930,8212.8899,9010.1717,0
0.086654,-11393.4426,-10814.9414,3555.1230,8373.4141,0
0.089298,-9994.7582,15261.2305,14978.6503,-13709.3840,0
0.090561,1922.3401,-9047.8516,3791.9844,-6456.5869,0
0.093204,-4719.6759,-10690.9180,-6041.4377,-3123.2226,0
0.097110,8943.2146,-9048.3398,4327.6966,2339.6350,0
0.101016,-13447.8293,15253.4180,8527.0712,8759.4791,0
0.104923,-4972.9315,-7564.4531,-3790.5695,1917.4506,0
0.108829,-14821.7070,-13047.8516,5621.5715,10474.9678,0
0.112735,-12721.0993,15261.2305,7327.7674,6476.7076,0
0.116641,2778.9468,-10815.4297,-5418.7904,-1929.5777,0
0.120548,12988.8819,-9041.9922,3241.5215,5247.5089,0
0.179372,-13659.6680,15409.6680,15499.5984,15670.2629,0
0.181911,-8185.8007,15104.9805,-8436.9375,-8352.6629,0
0.183278,5014.8962,-7939.9414,-8247.8541,-4844.6349,0
0.185817,1323.6445,-13064.9414,2450.3973,-1456.6419,0
0.187184,-5943.7115,-3031.2500,-4044.6182,-4755.1552,0
0.189723,-4556.2259,-11056.6406,14076.3067,15729.2978,0
0.191090,-13559.0400,15425.2930,15491.6318,15664.8317,0
0.193630,-6081.9275,15276.8555,-5840.1983,-3500.5343,0
0.194997,11801.2408,-6689.4531,-6813.8364,-3019.1877,0
0.197536,927.7624,-6315.4297,-7011.4244,-2046.0536,0
0.198903,-13655.1264,-5043.4570,-10039.8595,-9739.5405,0
0.201442,-8891.7748,-5042.9688,13893.8763,15480.0311,0
0.202809,-13768.1084,15261.2305,15523.1516,15776.8436,0
0.205348,-8321.8943,15440.9180,-7014.6293,-6545.0387,0
0.206715,5055.9139,-12690.4297,-6434.3385,-1662.2719,0
0.209255,8018.4742,-7940.4297,-1208.8832,13554.2283,0
